RPG Life Sciences,Sun Pharma (Peer),Nifty Pharma Index
619.0784912109375,739.494384765625,14355.150390625
651.6965942382812,726.6236572265625,14097.25
678.6006469726562,734.3076782226562,14278.9501953125
667.6485595703125,739.6864013671875,14334.25
675.4102172851562,739.4462890625,14380.5
665.7914428710938,740.0227661132812,14289.150390625
655.4108276367188,732.9150390625,14156.7001953125
640.077880859375,744.489013671875,14171.599609375
667.17236328125,779.2594604492188,14404.9501953125
653.45849609375,785.9349365234375,14466.5
647.744384765625,793.955078125,14587.650390625
664.4581909179688,799.141845703125,14812.400390625
679.0767822265625,788.0960083007812,14738.25
662.9820556640625,768.98193359375,14461.9501953125
658.077392578125,790.7374877929688,14562.2001953125
657.1250610351562,788.9605712890625,14514.7998046875
652.9346923828125,799.6702270507812,14615.349609375
645.3634643554688,796.9327392578125,14629.2001953125
639.7445068359375,809.275146484375,14679.400390625
637.697021484375,808.0745849609375,14728.650390625
628.459228515625,802.8878784179688,14598.2001953125
623.9354858398438,794.675537109375,14384.349609375
605.03125,782.7172241210938,14177.349609375
605.2216796875,786.0790405273438,14169.9501953125
628.6973266601562,780.4600219726562,13949.650390625
628.935302734375,781.0844116210938,13943.849609375
641.4588012695312,781.3724975585938,13970.650390625
645.8872680664062,792.5142822265625,14094.25
623.268798828125,775.7055053710938,13780.599609375
601.4122314453125,763.6032104492188,13879.349609375
685.029052734375,779.7396240234375,14049.4501953125
675.7911376953125,783.197509765625,13993.2001953125
664.4581909179688,756.8316040039062,13888.2998046875
673.505615234375,764.035400390625,13948.2001953125
658.5059814453125,768.4057006835938,13851.25
668.2676391601562,769.7023315429688,13878.7001953125
658.6488037109375,779.0673217773438,13911.2998046875
641.1255493164062,763.4591064453125,13717.7998046875
638.5541381835938,774.6488647460938,13774.650390625
631.506591796875,778.6831665039062,13974.349609375
626.364013671875,766.9168701171875,13798.7998046875
613.8404541015625,760.0972900390625,13621.900390625
593.9839477539062,759.4249877929688,13481.400390625
569.6512451171875,740.310791015625,13245.349609375
595.888671875,754.1901245117188,13489.9501953125
588.4602661132812,748.1870727539062,13408.099609375
590.650634765625,751.98095703125,13566.5
590.3173828125,736.9970703125,13797.099609375
592.3173217773438,721.388916015625,13648.7998046875
570.9368286132812,723.838134765625,13662.7998046875
571.8892822265625,715.9138793945312,13442.099609375
580.1748046875,735.988525390625,13557.0
574.936767578125,722.1091918945312,13443.849609375
568.984619140625,708.0379028320312,13192.25
588.41259765625,714.3291015625,13234.349609375
598.0313720703125,727.6321411132812,13433.849609375
586.6983642578125,729.7451782226562,13449.400390625
586.9840698242188,731.281982421875,13446.099609375
585.7460327148438,732.4827270507812,13432.900390625
575.4606323242188,726.1913452148438,13575.900390625
571.9368896484375,744.489013671875,13512.0498046875
561.6990356445312,734.259521484375,13393.650390625
562.8418579101562,738.5819091796875,13230.7001953125
556.1278076171875,733.7794189453125,13184.4501953125
561.318115234375,747.802734375,13282.849609375
570.12744140625,766.0044555664062,13547.7001953125
575.88916015625,761.15380859375,13644.5
568.6989135742188,754.3823852539062,13491.25
566.4608764648438,762.7386474609375,13710.150390625
566.0321655273438,782.9093017578125,13836.150390625
567.794189453125,805.67333984375,14072.900390625
599.3170776367188,801.4951782226562,14135.5
588.8411254882812,812.3008422851562,14223.0
583.0318603515625,815.4224853515625,14156.400390625
578.0319213867188,804.6168212890625,14040.650390625
579.8413696289062,802.1195068359375,13999.849609375
573.651123046875,796.8366088867188,13912.25
564.6036987304688,796.21240234375,13857.9501953125
