Solar_Radiation (W/m2),Temperature (C),Energy_Generated_kWh
325.0,23.4,243.75
533.0,26.1,399.75
697.0,28.5,522.75
799.0,29.9,599.25
827.0,30.9,620.25
782.0,31.5,586.5
664.0,31.7,498.0
488.0,31.5,366.0
274.0,30.9,205.5
72.0,26.5,54.0
0.0,24.5,0.0
0.0,23.1,0.0
0.0,22.2,0.0
0.0,22.2,0.0
0.0,21.9,0.0
0.0,21.0,0.0
0.0,20.0,0.0
0.0,19.1,0.0
0.0,18.8,0.0
0.0,18.2,0.0
0.0,17.9,0.0
0.0,17.5,0.0
4.0,17.6,3.0
121.0,20.3,90.75
336.0,23.5,252.0
542.0,27.4,406.5
703.0,30.9,527.25
801.0,32.4,600.75
828.0,33.3,621.0
752.0,33.6,564.0
635.0,33.7,476.25
479.0,33.5,359.25
275.0,32.8,206.25
73.0,27.8,54.75
0.0,26.6,0.0
0.0,27.0,0.0
0.0,26.4,0.0
0.0,25.6,0.0
0.0,25.0,0.0
0.0,24.0,0.0
0.0,23.0,0.0
0.0,22.3,0.0
0.0,21.6,0.0
0.0,21.1,0.0
0.0,20.6,0.0
0.0,21.0,0.0
4.0,21.2,3.0
120.0,23.6,90.0
331.0,26.9,248.25
535.0,30.0,401.25
696.0,32.6,522.0
795.0,34.8,596.25
802.0,36.0,601.5
603.0,36.0,452.25
536.0,36.2,402.0
423.0,36.2,317.25
251.0,35.3,188.25
70.0,30.4,52.5
0.0,28.5,0.0
0.0,27.9,0.0
0.0,27.7,0.0
0.0,27.0,0.0
0.0,25.8,0.0
0.0,24.8,0.0
0.0,23.8,0.0
0.0,23.2,0.0
0.0,22.6,0.0
0.0,21.6,0.0
0.0,21.4,0.0
0.0,21.3,0.0
5.0,21.3,3.75
120.0,23.8,90.0
330.0,27.5,247.5
537.0,30.8,402.75
698.0,33.0,523.5
798.0,34.5,598.5
827.0,35.7,620.25
685.0,36.0,513.75
627.0,36.5,470.25
489.0,36.5,366.75
280.0,35.5,210.0
78.0,31.6,58.5
0.0,29.4,0.0
0.0,27.8,0.0
0.0,26.3,0.0
0.0,26.2,0.0
0.0,24.8,0.0
